TIME;0;1091;2142;3199;4289;5399;6519;7652;8807;10028;11188;12321;13453;14578;15703;16838;17963;19096;20213;21340;22474;23600;24728;25860;26990;28119;29242;30366;31478;32594;33722;34853;35972;36591;37018
MEMORY;START;23;71;381;872;1353;1852;2208;3837;6660;5096;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;23;END
TIME;0;1101;2140;3207;4302;5402;6509;7634;8801;10011;11175;12311;13432;14553;15684;16813;17954;19080;20202;21321;22444;23579;24719;25840;26963;28084;29197;30317;31446;32570;33693;34828;35959;36292;37005
MEMORY;START;28;59;411;872;1312;1763;2213;3828;6660;5109;2296;2296;2296;2264;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2264;2296;2296;2296;2296;2296;23;END
TIME;0;1068;2107;3175;4259;5372;6491;7624;8781;10004;11147;12277;13395;14521;15656;16770;17910;19040;20164;21301;22430;23557;24693;25819;26938;28065;29191;30318;31444;32567;33695;34823;35956;36088;37002
MEMORY;START;24;60;444;875;1357;1825;2203;3822;6660;4519;2263;2264;2296;2296;2296;2296;2266;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;23;END
TIME;0;1095;2138;3212;4306;5414;6545;7691;8881;10081;11233;12354;13480;14621;15746;16881;18008;19130;20258;21389;22518;23635;24766;25886;27018;28140;29276;30403;31537;32669;33797;34921;36052;36273;37098
MEMORY;START;28;61;484;961;1463;1966;2993;5313;6660;5098;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;23;END
TIME;0;1095;2140;3203;4286;5391;6507;7643;8825;10044;11194;12319;13432;14554;15665;16781;17907;19028;20148;21264;22377;23498;24622;25739;26854;27981;29100;30226;31344;32467;33589;34711;35436;35757
MEMORY;START;20;59;389;855;1337;1826;2209;3943;6660;4518;2296;2296;2296;2264;2296;2296;2267;2296;2296;2296;2296;2296;2296;2296;2296;2296;2267;2296;2296;2296;2296;23;END
TIME;0;1090;2135;3201;4290;5391;6517;7659;8834;10020;11207;12339;13457;14576;15714;16839;17966;19089;20216;21336;22462;23583;24709;25822;26954;28080;29217;30338;31463;32593;33721;34836;35773;35883
MEMORY;START;22;58;430;936;1453;1959;2329;4402;6660;6305;2296;2296;2296;2296;2296;2296;2296;2266;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;23;END
TIME;0;1093;2137;3197;4280;5367;6462;7592;8746;9940;11113;12244;13381;14495;15615;16745;17874;18993;20115;21244;22376;23500;24621;25737;26858;27978;29110;30231;31343;32472;33600;34731;35608;35776
MEMORY;START;21;66;363;689;1069;1499;2040;3307;6082;4972;2296;2296;2296;2296;2296;2296;2296;2264;2296;2296;2296;2296;2296;2296;2296;2296;2296;2264;2296;2296;2296;23;END
TIME;0;1094;2141;3206;4295;5398;6518;7654;8820;10020;11194;12352;13479;14608;15735;16861;17985;19103;20232;21366;22492;23624;24750;25883;27010;28143;29274;30405;31533;32660;33782;34908;36033;36960;37081
MEMORY;START;30;70;326;818;1340;1852;2238;4374;6660;6660;4518;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2297;2296;2297;2296;2296;2296;2296;2296;2296;23;END
TIME;0;1095;2140;3207;4299;5398;6513;7645;8832;10046;11217;12374;13505;14641;15761;16888;18026;19144;20269;21389;22517;23650;24769;25894;27024;28143;29275;30408;31530;32664;33797;34920;36046;37176;37217;38222
MEMORY;START;20;60;484;991;1412;1836;2226;3996;6660;6660;4518;2296;2296;2296;2296;2296;2296;2296;2264;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;23;END
TIME;0;1084;2143;3202;4271;5361;6464;7592;8755;9949;11135;12292;13423;14553;15675;16804;17933;19065;20186;21308;22439;23576;24702;25824;26941;28058;29185;30307;31446;32560;33681;34816;35950;36376;36996
MEMORY;START;21;105;380;754;1222;1703;2190;3411;5691;6660;4518;2296;2296;2296;2263;2266;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;2296;23;END
