TIME;0;1087;2131;3184;3615;4231
MEMORY;START;29;29;70;25;END
TIME;0;1091;2140;3189;3810;4234
MEMORY;START;22;29;79;25;END
TIME;0;1114;2165;3220;3852;4267
MEMORY;START;29;29;68;25;END
TIME;0;1089;2142;3191;3825;4237
MEMORY;START;29;29;72;25;END
TIME;0;1089;2132;3182;3703;4228
MEMORY;START;30;34;72;25;END
TIME;0;1081;2127;3184;3903;4230
MEMORY;START;29;30;83;25;END
TIME;0;1083;2133;3181;3834;4228
MEMORY;START;21;34;77;25;END
TIME;0;1086;2132;3182;4023;4225
MEMORY;START;30;29;80;25;END
TIME;0;1092;2146;3192;3664;4239
MEMORY;START;29;29;74;25;END
TIME;0;1089;2133;3179;3858;4225
MEMORY;START;22;29;79;25;END
