TIME;0;1090;2137;3170;4452;5494;6532;7568;8072;8606
MEMORY;START;28;1304;1304;2583;3863;2583;2583;23;END
TIME;0;1081;2123;3156;4450;5483;6534;7569;8206;8608
MEMORY;START;28;1304;1304;2583;3863;3863;2583;23;END
TIME;0;1084;2125;3158;4324;5361;6408;7446;7866;8487
MEMORY;START;30;1304;1305;2583;3863;2583;2584;23;END
TIME;0;1087;2134;3167;4343;5382;6419;7455;8058;8498
MEMORY;START;28;1306;1305;2583;3863;3863;2583;23;END
TIME;0;1088;2131;3170;4411;5447;6486;7524;8148;8566
MEMORY;START;28;1304;1305;2583;3863;3863;2583;23;END
TIME;0;1088;2129;3162;4356;5388;6422;7460;8111;8499
MEMORY;START;21;1309;1304;2583;3863;2583;2583;23;END
TIME;0;1084;2134;3166;4205;5242;6308;7346;8002;8388
MEMORY;START;30;1306;1305;2583;3863;3871;2583;23;END
TIME;0;1094;2140;3176;4313;5349;6386;7433;7830;8474
MEMORY;START;20;1304;1305;2583;3863;2583;2647;23;END
TIME;0;1092;2138;3175;4411;5446;6484;7524;8129;8565
MEMORY;START;23;1304;1305;2583;3863;3863;2583;23;END
TIME;0;1090;2133;3180;4479;5513;6547;7585;8148;8625
MEMORY;START;28;1304;1305;2583;3863;3863;2583;23;END
