TIME;0;1104;2142;3199;4241;4458;5287
MEMORY;START;21;30;87;46;27;END
TIME;0;1082;2123;3175;4126;4219
MEMORY;START;22;32;87;27;END
TIME;0;1084;2128;3189;4033;4235
MEMORY;START;22;31;90;27;END
TIME;0;1089;2132;3184;4232;4418;5276
MEMORY;START;21;31;64;42;27;END
TIME;0;1097;2142;3196;4240;4305;5289
MEMORY;START;22;31;90;33;27;END
TIME;0;1091;2140;3202;4250;4616;5297
MEMORY;START;22;31;87;52;27;END
TIME;0;1086;2137;3195;4237;4356;5285
MEMORY;START;29;30;64;38;27;END
TIME;0;1093;2136;3192;4234;4442;5281
MEMORY;START;21;35;87;42;26;END
TIME;0;1078;2118;3173;4161;4217
MEMORY;START;29;30;87;27;END
TIME;0;1089;2137;3193;4104;4246
MEMORY;START;21;31;90;27;END
